City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Langsa,ID,80.65,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
365,Talcahuano,CL,53.28,mist,-36.7167,-73.1167,departamento comodo
366,Kirkuk,IQ,67.05,clear sky,35.4681,44.3922,Cihad Oteli
367,Madison,US,71.33,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
368,Tambura,SS,68.86,overcast clouds,5.6,27.4667,Rikito Lodge
369,Camana,PE,68.43,clear sky,-16.6228,-72.7111,Hostal Morales
371,Vostok,RU,62.91,broken clouds,46.4856,135.8833,
372,Saquena,PE,73.8,overcast clouds,-4.6667,-73.5167,
374,Yulara,AU,62.71,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
375,Kruisfontein,ZA,58.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
376,Florence,IT,56.75,clear sky,43.7667,11.25,Hotel Nuova Italia
378,Nurota,UZ,69.6,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
379,Arlit,NE,86.79,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
381,Leyland,GB,50.99,scattered clouds,53.6979,-2.6876,Preston Leyland Hotel | Signature Collection by Best Western
382,Camacha,PT,60.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
383,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
384,Guangzhou,CN,80.55,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
385,Lebyazhye,RU,52.48,clear sky,55.2689,66.4947,
386,Comodoro Rivadavia,AR,55.26,clear sky,-45.8667,-67.5,Austral Hotel
388,Rio Grande,BR,51.94,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
390,Isangel,VU,81.25,clear sky,-19.55,169.2667,Tanna Lodge
391,Rocha,UY,52.05,clear sky,-34.4833,-54.3333,Hotel Arrarte
392,Mercedes,AR,52.03,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
394,Yumen,CN,72.03,overcast clouds,40.2833,97.2,
395,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Hotel San Juan
396,Port-Gentil,GA,78.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
397,Asyut,EG,66.81,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
398,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
399,Kaihua,CN,66.6,overcast clouds,23.3687,104.28,Zhongyu Hotel
400,Cockburn Town,TC,77.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
401,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
403,Salinas,US,71.73,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
406,Catuday,PH,83.44,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
407,Pimentel,PE,65.82,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
408,Santander,ES,54.46,broken clouds,43.4647,-3.8044,Abba Santander Hotel
411,Taunggyi,MM,69.49,scattered clouds,20.7833,97.0333,True Treasure Hotel
412,Arsenyev,RU,75.2,broken clouds,44.1631,133.2733,ArsHostel on Kalininskaya 18
413,Gat,IL,61.48,few clouds,31.61,34.7642,OlusHome
415,Broome,US,55.2,overcast clouds,42.2506,-75.833,Chenango Valley State Park
416,Amroha,IN,84.49,clear sky,28.9167,78.4667,Hotel Parth Amroha
418,Kavieng,PG,85.3,light rain,-2.5744,150.7967,Nusa Island Retreat
419,Riyadh,SA,84.43,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
420,Trento,IT,57.65,overcast clouds,46.0679,11.1211,Hotel Sporting Trento
421,Planaltina,BR,72.18,overcast clouds,-15.4528,-47.6142,Retiro Maranata
422,Saldanha,ZA,60.13,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
425,Brokopondo,SR,75.65,overcast clouds,4.75,-55.1667,Matu Island
